gbifID	occurrenceID	phylum	class	order	family	genus	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	day	month	year	taxonKey	speciesKey	recordedBy
850354035	urn:lsid:artportalen.se:Sighting:1098774	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kragenäs	b8323864-602a-4a7d-9127-bb903054e97d	58.797663	11.2399	5000.0	1992-09-06T00:00:00Z	6.0	9	1992	5249504	5249504.0	Jan Nilsson
850353407	urn:lsid:artportalen.se:Sighting:1092392	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Stora Horssjön N	b8323864-602a-4a7d-9127-bb903054e97d	59.093088	17.401553	5000.0	1985-09-15T00:00:00Z	15.0	9	1985	5249504	5249504.0	Genom Michael Krikorev
850353213	urn:lsid:artportalen.se:Sighting:152377	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Craterellus cinereus (Pers.) Donk	SE	Ledarön	b8323864-602a-4a7d-9127-bb903054e97d	59.027051	17.642319	5000.0	1988-09-17T00:00:00Z	17.0	9	1988	2554512	5249528.0	Klas Jaederfeldt
850353180	urn:lsid:artportalen.se:Sighting:1090027	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Hornö	b8323864-602a-4a7d-9127-bb903054e97d	58.900690000000004	17.687666	5000.0	1984-07-17T00:00:00Z	17.0	7	1984	5249504	5249504.0	Genom Michael Krikorev
850353081	urn:lsid:artportalen.se:Sighting:1095265	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Elgsjögården	b8323864-602a-4a7d-9127-bb903054e97d	58.77228100000001	16.062713000000002	5000.0	1988-09-10T00:00:00Z	10.0	9	1988	5249504	5249504.0	Mats Elfström
850352445	urn:lsid:artportalen.se:Sighting:1099446	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Mattebo	b8323864-602a-4a7d-9127-bb903054e97d	59.088589	17.732843	5000.0	1992-10-23T00:00:00Z	23.0	10	1992	5249504	5249504.0	Genom Michael Krikorev
850352276	urn:lsid:artportalen.se:Sighting:1092756	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Yttereneby SO, Lillsjön S 1,5	b8323864-602a-4a7d-9127-bb903054e97d	59.036754	17.590567	5000.0	1986-07-18T00:00:00Z	18.0	7	1986	5249504	5249504.0	Klas Jaederfeldt
850351959	urn:lsid:artportalen.se:Sighting:1092758	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Brandalsund	b8323864-602a-4a7d-9127-bb903054e97d	59.10755	17.664076	5000.0	1986-07-31T00:00:00Z	31.0	7	1986	5249504	5249504.0	Genom Michael Krikorev
850351758	urn:lsid:artportalen.se:Sighting:1101017	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Nötön NR	b8323864-602a-4a7d-9127-bb903054e97d	59.072849	14.035323000000002	5000.0	1993-10-09T00:00:00Z	9.0	10	1993	5249504	5249504.0	Bernt Hägg, Max Koschatzky
850351701	urn:lsid:artportalen.se:Sighting:1093645	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Ekö	b8323864-602a-4a7d-9127-bb903054e97d	58.909662	17.688151	5000.0	1987-09-19T00:00:00Z	19.0	9	1987	5249504	5249504.0	Genom Michael Krikorev
850351616	urn:lsid:artportalen.se:Sighting:1088904	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Munkängarnas naturreservat	b8323864-602a-4a7d-9127-bb903054e97d	58.613335	13.387386	1000.0	1980-09-23T00:00:00Z	23.0	9	1980	5249504	5249504.0	Stig Jacobsson
850351427	urn:lsid:artportalen.se:Sighting:1099676	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Hyddan	b8323864-602a-4a7d-9127-bb903054e97d	58.930215000000004	14.112101999999998	5000.0	1993-08-02T00:00:00Z	2.0	8	1993	5249504	5249504.0	Genom Michael Krikorev
850351129	urn:lsid:artportalen.se:Sighting:1092755	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Stora Horssjön N	b8323864-602a-4a7d-9127-bb903054e97d	59.093088	17.401553	5000.0	1986-07-15T00:00:00Z	15.0	7	1986	5249504	5249504.0	Genom Michael Krikorev
850351029	urn:lsid:artportalen.se:Sighting:1099442	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Lervassaträsk	b8323864-602a-4a7d-9127-bb903054e97d	59.050158999999994	18.39305	5000.0	1992-10-05T00:00:00Z	5.0	10	1992	5249504	5249504.0	Hans-Göran Toresson
850350627	urn:lsid:artportalen.se:Sighting:1097598	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Klockaretorpet SV	b8323864-602a-4a7d-9127-bb903054e97d	58.563867	16.123044	5000.0	1990-10-01T00:00:00Z	1.0	10	1990	5249504	5249504.0	Genom Michael Krikorev
850350395	urn:lsid:artportalen.se:Sighting:1100784	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Nyttorp gård O, nära väg 195	b8323864-602a-4a7d-9127-bb903054e97d	58.457705000000004	14.391882	5000.0	1993-09-17T00:00:00Z	17.0	9	1993	5249504	5249504.0	Genom Michael Krikorev
850350030	urn:lsid:artportalen.se:Sighting:1087329	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Näverkärr NR	b8323864-602a-4a7d-9127-bb903054e97d	58.352754000000004	11.371126	5000.0	1974-09-18T00:00:00Z	18.0	9	1974	5249504	5249504.0	Stig Jacobsson
850349672	urn:lsid:artportalen.se:Sighting:1096401	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Malmslätt	b8323864-602a-4a7d-9127-bb903054e97d	58.411244999999994	15.488698000000001	5000.0	1989-09-18T00:00:00Z	18.0	9	1989	5249504	5249504.0	Genom Michael Krikorev
850349344	urn:lsid:artportalen.se:Sighting:1101742	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Smedstorp	b8323864-602a-4a7d-9127-bb903054e97d	58.582205	15.849875	5000.0	1994-10-09T00:00:00Z	9.0	10	1994	5249504	5249504.0	Anne-christine Arvidson
850348927	urn:lsid:artportalen.se:Sighting:1096898	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Lövsta slottspark	b8323864-602a-4a7d-9127-bb903054e97d	58.55148199999999	16.037057	5000.0	1990-07-31T00:00:00Z	31.0	7	1990	5249504	5249504.0	Genom Michael Krikorev
850348641	urn:lsid:artportalen.se:Sighting:1097606	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Klockaretorpet	b8323864-602a-4a7d-9127-bb903054e97d	58.563061	16.123035	5000.0	1991-07-18T00:00:00Z	18.0	7	1991	5249504	5249504.0	Genom Michael Krikorev
850348260	urn:lsid:artportalen.se:Sighting:1097865	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Venasjön N	b8323864-602a-4a7d-9127-bb903054e97d	58.464927	16.190687	5000.0	1991-08-22T00:00:00Z	22.0	8	1991	5249504	5249504.0	Genom Michael Krikorev
850347682	urn:lsid:artportalen.se:Sighting:152374	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Craterellus cinereus (Pers.) Donk	SE	Österplana hed	b8323864-602a-4a7d-9127-bb903054e97d	58.569128000000006	13.424819	5000.0	1985-09-20T00:00:00Z	20.0	9	1985	2554512	5249528.0	Siw Muskos
850347641	urn:lsid:artportalen.se:Sighting:1101743	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Björnabacken, Hallenvägen 2	b8323864-602a-4a7d-9127-bb903054e97d	58.439909	13.741843	5000.0	1994-10-09T00:00:00Z	9.0	10	1994	5249504	5249504.0	Rolf-Göran Carlsson
850347434	urn:lsid:artportalen.se:Sighting:1101592	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Västerby	b8323864-602a-4a7d-9127-bb903054e97d	58.50136800000001	15.916665	5000.0	1994-10-01T00:00:00Z	1.0	10	1994	5249504	5249504.0	Anne-christine Arvidson
850347393	urn:lsid:artportalen.se:Sighting:1097408	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Gotska Sandön	b8323864-602a-4a7d-9127-bb903054e97d	58.365359999999995	19.248812	5000.0	1990-09-03T00:00:00Z	3.0	9	1990	5249504	5249504.0	Genom Michael Krikorev
850347294	urn:lsid:artportalen.se:Sighting:1095259	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Malmslätt	b8323864-602a-4a7d-9127-bb903054e97d	58.411244999999994	15.488698000000001	5000.0	1988-09-05T00:00:00Z	5.0	9	1988	5249504	5249504.0	Genom Michael Krikorev
850347160	urn:lsid:artportalen.se:Sighting:1101008	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Ramunderberget	b8323864-602a-4a7d-9127-bb903054e97d	58.482401	16.328021	5000.0	1993-09-29T00:00:00Z	29.0	9	1993	5249504	5249504.0	Genom Michael Krikorev
850347064	urn:lsid:artportalen.se:Sighting:1096897	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Lövsta slottspark	b8323864-602a-4a7d-9127-bb903054e97d	58.55148199999999	16.037057	5000.0	1990-07-31T00:00:00Z	31.0	7	1990	5249504	5249504.0	Genom Michael Krikorev
850346890	urn:lsid:artportalen.se:Sighting:1101593	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Sparresäters skogsbruksskola	b8323864-602a-4a7d-9127-bb903054e97d	58.50215600000001	13.703880999999999	5000.0	1994-10-01T00:00:00Z	1.0	10	1994	5249504	5249504.0	Rolf-Göran Carlsson
850346140	urn:lsid:artportalen.se:Sighting:1162233	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus pallens Pilát	SE	Ryds ängar	b8323864-602a-4a7d-9127-bb903054e97d	58.449695999999996	13.792670000000001	5000.0	1993-08-18T00:00:00Z	18.0	8	1993	5249496	5249504.0	Kurt-Anders Johansson, Rolf-Göran Carlsson
850346036	urn:lsid:artportalen.se:Sighting:1093648	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Stjärnvallen	b8323864-602a-4a7d-9127-bb903054e97d	58.5551	15.590459	5000.0	1987-09-22T00:00:00Z	22.0	9	1987	5249504	5249504.0	Genom Michael Krikorev
850345958	urn:lsid:artportalen.se:Sighting:1162044	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus pallens Pilát	SE	Gotska Sandön	b8323864-602a-4a7d-9127-bb903054e97d	58.365359999999995	19.248812	5000.0	1990-09-03T00:00:00Z	3.0	9	1990	5249496	5249504.0	Genom Michael Krikorev
850345713	urn:lsid:artportalen.se:Sighting:1101574	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	"Röåsjön. Ingår i naturreservatet ""Stora Röå"""	b8323864-602a-4a7d-9127-bb903054e97d	58.445409	13.535967000000001	5000.0	1994-08-31T00:00:00Z	31.0	8	1994	5249504	5249504.0	Genom Michael Krikorev
850345068	urn:lsid:artportalen.se:Sighting:1101006	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Notvik. Nordviken vid Vättern, vid småsjöarna Amperna	b8323864-602a-4a7d-9127-bb903054e97d	58.458620999999994	14.47751	5000.0	1993-09-28T00:00:00Z	28.0	9	1993	5249504	5249504.0	Genom Michael Krikorev
850345030	urn:lsid:artportalen.se:Sighting:1101024	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Ramunderberget N. Petersburg	b8323864-602a-4a7d-9127-bb903054e97d	58.482401	16.328021	5000.0	1993-10-18T00:00:00Z	18.0	10	1993	5249504	5249504.0	Margareta Haraldson
850344808	urn:lsid:artportalen.se:Sighting:1098391	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Gustavsberg	b8323864-602a-4a7d-9127-bb903054e97d	58.527894999999994	16.148466	5000.0	1991-09-17T00:00:00Z	17.0	9	1991	5249504	5249504.0	Genom Michael Krikorev
850344797	urn:lsid:artportalen.se:Sighting:1093627	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Malmslätt	b8323864-602a-4a7d-9127-bb903054e97d	58.411244999999994	15.488698000000001	5000.0	1987-09-05T00:00:00Z	5.0	9	1987	5249504	5249504.0	Genom Michael Krikorev
850344787	urn:lsid:artportalen.se:Sighting:1097852	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Vrinnevi	b8323864-602a-4a7d-9127-bb903054e97d	58.562766	16.196921	5000.0	1991-08-13T00:00:00Z	13.0	8	1991	5249504	5249504.0	Genom Michael Krikorev
850344681	urn:lsid:artportalen.se:Sighting:1094369	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Kimstad	b8323864-602a-4a7d-9127-bb903054e97d	58.537203000000005	15.985458	5000.0	1988-08-24T00:00:00Z	24.0	8	1988	5249504	5249504.0	Genom Michael Krikorev
